timestamp	experiment_id	metric	observed_value	threshold	action	triggered
2026-04-23T10:15:32.591169+00:00	gemma_jumprelu_anchor_d1_s1	variance_explained_deviation_from_leask	0.3702	0.05	halt_and_notify	1
2026-04-23T10:22:41.231000+00:00	gemma_jumprelu_anchor_d1_s2	variance_explained_deviation_from_leask	0.374046	0.05	halt_and_notify	1
2026-04-23T11:12:44.834968+00:00	gemma_jumprelu_d1_s0	variance_explained	0.166439	0.2	skip_depth	1
2026-04-23T14:52:47.547317+00:00	gemma_jumprelu_d1_s2	variance_explained	0.163816	0.2	skip_depth	1
2026-04-23T15:23:38.097520+00:00	gemma_jumprelu_d2_s0	variance_explained	-0.0149947	0.2	skip_depth	1
2026-04-23T15:31:44.284284+00:00	gemma_jumprelu_d2_s2	variance_explained	-0.0112853	0.2	skip_depth	1
2026-04-23T15:34:25.361851+00:00	gemma_jumprelu_d3_s0	variance_explained	-0.0248986	0.2	skip_experiment	1
2026-04-23T15:35:25.894011+00:00	gemma_jumprelu_d3_s2	variance_explained	-0.022892	0.2	skip_experiment	1
2026-04-25T09:19:42.265527+00:00	gemma_jumprelu_anchor_d1_s0	variance_explained_deviation_from_leask	0.36313799999999996	0.05	halt_and_notify	1
2026-04-25T09:51:03.619438+00:00	gemma_jumprelu_anchor_d1_s1	variance_explained_deviation_from_leask	0.36402399999999996	0.05	halt_and_notify	1
2026-04-25T10:15:05.863822+00:00	gemma_jumprelu_anchor_d1_s2	variance_explained_deviation_from_leask	0.367324	0.05	halt_and_notify	1
2026-04-25T11:05:24.660836+00:00	gemma_jumprelu_d1_s0	variance_explained	0.184815	0.2	skip_depth	1
2026-04-25T17:07:43.864203+00:00	gemma_jumprelu_d1_s2	variance_explained	0.18196	0.2	skip_depth	1
2026-04-25T22:57:26.521003+00:00	gemma_jumprelu_d2_s0	variance_explained	-0.00210345	0.2	skip_depth	1
2026-04-25T23:11:23.318097+00:00	gemma_jumprelu_d2_s2	variance_explained	0.00311428	0.2	skip_depth	1
2026-04-26T01:45:51.023839+00:00	flat_gpt2_w12288_s0	variance_explained	0.926393	0.5	skip_experiment	0
2026-04-27T10:19:32.093506+00:00	gemma_jumprelu_d3_s0	variance_explained	-0.0308669	0.2	skip_experiment	1
2026-04-27T10:22:10.063438+00:00	gemma_jumprelu_d3_s2	variance_explained	-0.0175284	0.2	skip_experiment	1
2026-04-27T15:18:29.892475+00:00	gemma_jumprelu_d1_s1	variance_explained	0.184728	0.2	skip_depth	0
2026-04-27T15:18:29.892475+00:00	gemma_jumprelu_d1_s1	pwmcc_vs_null_sigma	None	2.0	skip_depth	0
2026-04-27T15:41:37.427953+00:00	gemma_jumprelu_anchor_d1_s0	variance_explained_deviation_from_leask	0.35833	0.05	halt_and_notify	1
2026-04-27T15:54:09.280251+00:00	gemma_jumprelu_anchor_d1_s1	variance_explained_deviation_from_leask	0.35870199999999997	0.05	halt_and_notify	1
2026-04-27T16:13:23.131832+00:00	gemma_jumprelu_anchor_d1_s2	variance_explained_deviation_from_leask	0.361913	0.05	halt_and_notify	1
